"","GEOID","NAME","variable","estimate","moe","source"
"210","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_014",78,76,"American Community Survey, 5 year sample, 2016-2020"
"211","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_003",0,14,"American Community Survey, 5 year sample, 2016-2020"
"212","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_004",0,14,"American Community Survey, 5 year sample, 2016-2020"
"213","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_005",0,14,"American Community Survey, 5 year sample, 2016-2020"
"214","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_006",0,14,"American Community Survey, 5 year sample, 2016-2020"
"215","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_020",0,14,"American Community Survey, 5 year sample, 2016-2020"
"216","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_021",27,27,"American Community Survey, 5 year sample, 2016-2020"
"217","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_022",0,14,"American Community Survey, 5 year sample, 2016-2020"
"218","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_023",0,14,"American Community Survey, 5 year sample, 2016-2020"
"219","13059030101","Census Tract 301.01, Clarke County, Georgia","B01001_024",0,14,"American Community Survey, 5 year sample, 2016-2020"
