School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe,description
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,DRIVEWAY,0.96,-99,Driveways per Household
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,DRIVEWAY,0.45,-99,Driveways per Household
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,DRIVEWAY,0.45,-99,Driveways per Household
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,DRIVEWAY,0.8,-99,Driveways per Household
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,DRIVEWAY,0.58,-99,Driveways per Household
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,DRIVEWAY,0.58,-99,Driveways per Household
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,DRIVEWAY,0.53,-99,Driveways per Household
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,DRIVEWAY,0.87,-99,Driveways per Household
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,DRIVEWAY,0.91,-99,Driveways per Household
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,DRIVEWAY,0.78,-99,Driveways per Household
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,VIOL_REF,30.72,-99,Violent Referrals per 100 Students
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,VIOL_REF,10.22,-99,Violent Referrals per 100 Students
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,VIOL_REF,16.91,-99,Violent Referrals per 100 Students
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,VIOL_REF,NA,-99,Violent Referrals per 100 Students
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,VIOL_REF,12.24,-99,Violent Referrals per 100 Students
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,VIOL_REF,13,-99,Violent Referrals per 100 Students
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,VIOL_REF,18.12,-99,Violent Referrals per 100 Students
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,VIOL_REF,32.9,-99,Violent Referrals per 100 Students
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,VIOL_REF,21.41,-99,Violent Referrals per 100 Students
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,VIOL_REF,3.31,-99,Violent Referrals per 100 Students
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,VIOL_REF,NA,-99,Violent Referrals per 100 Students
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,VIOL_REF,14.99,-99,Violent Referrals per 100 Students
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,VIOL_REF,8.22,-99,Violent Referrals per 100 Students
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,VIOL_REF,3.04,-99,Violent Referrals per 100 Students
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,VIOL_REF,2.58,-99,Violent Referrals per 100 Students
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,VIOL_REF,7.11,-99,Violent Referrals per 100 Students
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,DOMCRIME,1568.95,-99,Domestic Crime Rates Over 15 years
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,DOMCRIME,610.75,-99,Domestic Crime Rates Over 15 years
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,DOMCRIME,326.62,-99,Domestic Crime Rates Over 15 years
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,DOMCRIME,1009.59,-99,Domestic Crime Rates Over 15 years
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,DOMCRIME,1311.97,-99,Domestic Crime Rates Over 15 years
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,DOMCRIME,1143.64,-99,Domestic Crime Rates Over 15 years
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,DOMCRIME,1706.04,-99,Domestic Crime Rates Over 15 years
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,DOMCRIME,2591.79,-99,Domestic Crime Rates Over 15 years
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,DOMCRIME,1940.27,-99,Domestic Crime Rates Over 15 years
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,DOMCRIME,1131.07,-99,Domestic Crime Rates Over 15 years
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,DOMCRIME,1965.4,-99,Domestic Crime Rates Over 15 years
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,DOMCRIME,1059.93,-99,Domestic Crime Rates Over 15 years
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,DOMCRIME,613.56,-99,Domestic Crime Rates Over 15 years
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,DOMCRIME,886.38,-99,Domestic Crime Rates Over 15 years
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,DOMCRIME,829.24,-99,Domestic Crime Rates Over 15 years
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,DOMCRIME,951.59,-99,Domestic Crime Rates Over 15 years
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PER3CHRO,15.947,-99,% Reporting 3+ Chronic Health Issues
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PER3CHRO,11.458,-99,% Reporting 3+ Chronic Health Issues
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PER3CHRO,15.652,-99,% Reporting 3+ Chronic Health Issues
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PER3CHRO,10.714,-99,% Reporting 3+ Chronic Health Issues
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PER3CHRO,14.947,-99,% Reporting 3+ Chronic Health Issues
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PER3CHRO,10.377,-99,% Reporting 3+ Chronic Health Issues
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PER3CHRO,23.622,-99,% Reporting 3+ Chronic Health Issues
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PER3CHRO,19.937,-99,% Reporting 3+ Chronic Health Issues
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PER3CHRO,20.67,-99,% Reporting 3+ Chronic Health Issues
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PER3CHRO,27.419,-99,% Reporting 3+ Chronic Health Issues
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PER3CHRO,13.158,-99,% Reporting 3+ Chronic Health Issues
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PER3CHRO,14.085,-99,% Reporting 3+ Chronic Health Issues
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PER3CHRO,13.793,-99,% Reporting 3+ Chronic Health Issues
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PER3CHRO,10.667,-99,% Reporting 3+ Chronic Health Issues
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PER3CHRO,28.814,-99,% Reporting 3+ Chronic Health Issues
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PER3CHRO,17.986,-99,% Reporting 3+ Chronic Health Issues
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERBARRI,33.555,-99,%Reporting Barriers to Health Care Access
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERBARRI,16.667,-99,%Reporting Barriers to Health Care Access
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERBARRI,29.739,-99,%Reporting Barriers to Health Care Access
