OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
100,13,52192,02404282,1352192,Monroe,Monroe city,25,C1,N,N,G4110,A,40531298.000000000000000,549380.000000000000000,+33.7974810,-083.7187281
101,13,20932,02404169,1320932,Cumming,Cumming city,25,C1,N,N,G4110,A,18621028.000000000000000,104927.000000000000000,+34.2060666,-084.1338478
102,13,24768,02556482,1324768,Dunwoody,Dunwoody city,25,C1,N,N,G4110,A,33737198.000000000000000,568994.000000000000000,+33.9413866,-084.3127008
103,13,13688,02404002,1313688,Cartersville,Cartersville city,25,C1,N,N,G4110,A,74122058.000000000000000,317826.000000000000000,+34.1645791,-084.8017036
104,13,27344,02403563,1327344,Emerson,Emerson city,25,C1,N,N,G4110,A,22355080.000000000000000,5828.000000000000000,+34.1313292,-084.7453692
105,13,36276,02403790,1336276,Hampton,Hampton city,25,C1,N,N,G4110,A,21872426.000000000000000,150080.000000000000000,+33.3788493,-084.2961918
106,13,09544,02403902,1309544,Bowdon,Bowdon city,25,C1,N,N,G4110,A,8804487.000000000000000,0.000000000000000,+33.5378371,-085.2539759
107,13,10944,02746306,1310944,Brookhaven,Brookhaven city,25,C1,N,N,G4110,A,30394268.000000000000000,312796.000000000000000,+33.8759542,-084.3347630
108,13,44508,02404862,1344508,Lake City,Lake City city,25,C1,N,N,G4110,A,4784485.000000000000000,0.000000000000000,+33.6064654,-084.3410957
109,13,74572,02405549,1374572,Sunny Side,Sunny Side city,25,C1,N,N,G4110,A,511356.000000000000000,10660.000000000000000,+33.3432768,-084.2917402
110,13,73784,02786721,1373784,Stonecrest,Stonecrest city,25,C1,N,N,G4110,A,96873262.000000000000000,1470055.000000000000000,+33.6806667,-084.1452502
111,13,75664,02406718,1375664,Taylorsville,Taylorsville town,43,C1,N,N,G4110,A,3863819.000000000000000,1102.000000000000000,+34.0851290,-084.9856285
112,13,00436,02403060,1300436,Adairsville,Adairsville city,25,C1,N,N,G4110,A,24235021.000000000000000,0.000000000000000,+34.3708459,-084.9211924
113,13,27988,02403576,1327988,Euharlee,Euharlee city,25,C1,N,N,G4110,A,13996392.000000000000000,404716.000000000000000,+34.1435861,-084.9327520
114,13,43668,02404837,1343668,Kingston,Kingston city,25,C1,N,N,G4110,A,3260016.000000000000000,0.000000000000000,+34.2319724,-084.9444925
115,13,82468,02405730,1382468,White,White city,25,C1,N,N,G4110,A,2710451.000000000000000,0.000000000000000,+34.2822337,-084.7480282
116,13,21940,02404194,1321940,Dawsonville,Dawsonville city,25,C1,N,N,G4110,A,22249846.000000000000000,56565.000000000000000,+34.4335811,-084.1244756
117,13,09488,02403901,1309488,Bostwick,Bostwick city,25,C1,N,N,G4110,A,7524702.000000000000000,39445.000000000000000,+33.7376958,-083.5139001
